Firm,Segment,HQ Region,Founded,Team Size,Annual Rev.,Rev Growth (YoY),R&D Spend,AI Program,Cloud Stack,Digital Sales,Compliance Tier,Fraud Exposure,Funding Stage,Customer Accts
OakCircuit Ops,Banking SaaS,"New York, NY",2002,417,141638144.0,15.5,22340000.0,1.0,Cloud-Forward,73.0,3.0,Moderate,Series C,339900.0
OakSignal Systems,Banking SaaS,"New York, NY",2003,295,104620000.0,14.7,15310000.0,1.0,Cloud-Forward,68.0,2.0,Low,Series C,49600.0
BeaconSummit Ops,Banking SaaS,"Charlotte, NC",2006,263,81900000.0,15.0,13050000.0,0.0,Cloud-Forward,70.0,3.0,Moderate,Series C,332335.0
NorthMint Suite,Banking SaaS,"New York, NY",2001,163,65700000.0,5.6,9800000.0,0.0,Cloud-Native,60.0,3.0,Moderate,Series B,97069.0
IronLedger Core,Banking SaaS,"Atlanta, GA",2003,164,65550000.0,10.6,9660000.0,1.0,Hybrid,69.0,3.0,Moderate,Series B,102781.0
FrontierHarbor Suite,Banking SaaS,"Boston, MA",2019,171,55960000.0,12.2,10408560.000000002,0.0,Cloud-Native,70.0,3.0,Moderate,Series B,160877.0
OakFoundry Ops,Banking SaaS,"Boston, MA",2017,98,42730000.0,9.5,5255790.000000001,0.0,Hybrid,64.0,3.0,Moderate,Series B,63433.0
NorthFoundry Systems,Banking SaaS,"Seattle, WA",2021,166,38200000.0,7.0,4033209.0,1.0,Hybrid,76.0,2.0,Low,Series B,77126.0
CobaltFoundry Core,Banking SaaS,"Seattle, WA",2005,103,27360000.0,8.3,4099999.9999999995,1.0,Cloud-Forward,52.0,3.0,Moderate,Series B,181154.0
SignalCircuit Core,Banking SaaS,"Chicago, IL",2006,52,13600000.0,8.1,2400000.0,0.0,Cloud-Forward,78.0,2.0,Low,Series A,160254.0
AtlasPoint Sure,InsurTech,"Seattle, WA",1998,762,149113475.0,10.8,14127072.0,0.0,Hybrid,75.0,3.0,Moderate,Series C,710368.0
SignalPeak Cover,InsurTech,"Boston, MA",2017,782,147450000.0,11.7,14340000.0,1.0,Legacy,50.0,3.0,Moderate,Series C,867800.0
