Firm,Segment,HQ Region,Founded,Team Size,Annual Rev.,Rev Growth (YoY),R&D Spend,AI Program,Cloud Stack,Digital Sales,Compliance Tier,Fraud Exposure,Funding Stage,Customer Accts
OakCircuit Ops,Banking SaaS,"New York, NY",2002,417,"$141,638,144",15.5%,22.34 million,AI Enabled,Cloud-Forward,73%,Tier 3,Moderate,Series C,339.9K
QuantumWave Systems,Banking SaaS,"San Francisco, CA",2013,343,USD 110.70M,+18.5%,--,In Review,Cloud native,88%,Tier 3,Elevated,Series C,"108,727"
OakSignal Systems,Banking SaaS,"New York, NY",2003,295,104.62 million,+14.7%,$15.31 mn,Adopted,Cloud-Forward,68%,Tier 2,Low,Series C,49.6K
BeaconSummit Ops,Banking SaaS,"Charlotte, NC",2006,263,$81.9M,+15.0%,$13.05 mn,NO,Cloud-Forward,70%,Tier 3,Moderate,Series C,"332,335"
NorthMint Suite,Banking SaaS,"New York, NY",2001,163,$65.7M,5.6%,$9.8M,NO,Cloud-Native,60%,Tier 3,Moderate,Series B,"97,069"
IronLedger Core,Banking SaaS,"Atlanta, GA",2003,164,65.55 million,10.6%,9.66 million,Pilot,Hybrid Stack,69%,Tier 3,Moderate,Series B,"102,781"
GraniteSignal Core,Banking SaaS,"New York, NY",2004,144,$57.31 mn,+12.0%,9.91 million,In Review,Cloud-Forward,57%,Tier 3,Moderate,Series B,"98,701"
FrontierHarbor Suite,Banking SaaS,"Boston, MA",2019,171,55.96 million,12.2%,18.6% rev,Not Yet,Cloud native,70%,Tier 3,Moderate,Series B,"160,877"
OakFoundry Ops,Banking SaaS,"Boston, MA",2017,98,USD 42.73M,9.5%,12.3% rev,NO,Hybrid Stack,64%,Tier 3,Moderate,Series B,"63,433"
NorthFoundry Systems,Banking SaaS,"Seattle, WA",2021,166,$38.2M,+7.0%,"$4,033,209",YES,Hybrid,76%,Tier 2,Low,Series B,"77,126"
CobaltFoundry Core,Banking SaaS,"Seattle, WA",2005,103,27.36 million,8.3%,$4.1M,Yes,Cloud forward,52%,Tier 3,Moderate,Series B,"181,154"
SignalCircuit Core,Banking SaaS,"Chicago, IL",2006,52,$13.6M,8.1%,$2.40 mn,Legacy Only,Cloud-Forward,78%,Tier 2,Low,Series A,"160,254"
AtlasPoint Sure,InsurTech,"Seattle, WA",1998,762,"$149,113,475",+10.8%,"$14,127,072",Legacy Only,Hybrid Stack,75%,Tier 3,Moderate,Series C,"710,368"
SignalPeak Cover,InsurTech,"Boston, MA",2017,782,USD 147.45M,11.7%,$14.34 mn,AI Enabled,Legacy Core,50%,Tier 3,Moderate,Series C,867.8K
CrestLine Shield,InsurTech,"San Francisco, CA",2002,559,140.38 million,+8.3%,$14.06 mn,Legacy Only,Cloud-Native,82%,Tier 2,Moderate,Series C,599.8K
NorthLedger Shield,InsurTech,"Boston, MA",2020,534,"$127,053,274",+8.6%,N/A,Yes,Cloud-Forward,67%,Tier 2,Low,Series C,491.3K
FrontierCircuit Policy,InsurTech,"Boston, MA",2012,404,"$112,872,694",6.3%,$10.4M,Legacy Only,Cloud-Forward,75%,Tier 3,Moderate,Series C,"1,205,410"
PrimeCircuit Shield,InsurTech,"New York, NY",2007,385,108.71 million,+13.7%,12.31 million,Legacy Only,Cloud-Native,83%,Tier 4,Elevated,Series C,469.4K
CrestLedger Shield,InsurTech,"San Francisco, CA",2008,203,56.45 million,+5.7%,"$5,798,556",Manual Only,Cloud forward,79%,Tier 3,Moderate,Series B,"922,148"
BlueVista Cover,InsurTech,"Austin, TX",2020,221,$53.9M,5.9%,USD 3.36M,Legacy Only,Hybrid Stack,67%,Tier 4,Moderate,Series B,"652,308"
SterlingLine Policy,InsurTech,"San Francisco, CA",2003,204,50.07 million,+15.2%,USD 7.41M,Live,Cloud-Native,87%,Tier 3,Elevated,Series B,"715,540"
CrestPath Shield,InsurTech,"New York, NY",2009,248,49.73 million,5.6%,4.28 million,Legacy Only,Cloud forward,65%,Tier 4,Moderate,Series B,"1,039,484"
FrontierWave Sure,InsurTech,"Seattle, WA",2023,90,$39.91 mn,+20.3%,$7.3M,YES,Cloud native,98%,Tier 2,Moderate,Series B,384.4K
VertexRiver Risk,InsurTech,"Austin, TX",2006,171,$37.75 mn,12.1%,$4.8M,Yes,Cloud forward,76%,Tier 3,Moderate,Series B,"1,275,862"
SummitField Sure,InsurTech,"New York, NY",2013,143,$34.59 mn,6.4%,$3.8M,N/A,Hybrid Stack,75%,Tier 3,Moderate,Series B,"1,010,032"
VertexRiver Policy,InsurTech,"Atlanta, GA",2009,103,26.88 million,6.3%,USD 2.08M,Legacy Only,Cloud-Forward,68%,Tier 4,Moderate,Series B,"142,237"
FrontierWave Policy,InsurTech,"New York, NY",2022,92,24.31 million,1.4%,$1.9M,In Review,Cloud forward,74%,Tier 3,Moderate,Series A,"1,906,025"
SignalRiver Advance,Lending,"Miami, FL",2001,"2,000",USD 454.21M,+14.3%,USD 49.48M,AI Enabled,Cloud-Forward,78%,Tier 3,Elevated,Late Stage,"1,028,126"
DeltaSignal Advance,Lending,"Miami, FL",2022,887,$419.78 mn,10.8%,43.96 million,Manual Only,Cloud native,89%,Tier 3,High,Late Stage,"550,941"
AtlasMint Funding,Lending,"San Francisco, CA",2001,1.2K,$339.97 mn,+15.7%,$47.6M,Adopted,Cloud forward,87%,Tier 4,High,Late Stage,1.07M
BlueFoundry Funding,Lending,"Boston, MA",2021,642,$188.9M,+5.6%,USD 13.55M,No,Hybrid Stack,65%,Tier 3,Elevated,Late Stage,1.03M
GraniteGrid Capital,Lending,"Charlotte, NC",1998,788,USD 178.71M,16.9%,--,AI Enabled,Cloud-Native,79%,Tier 3,Elevated,Series C,"704,395"
CedarVista Lend,Lending,"New York, NY",2004,488,$173.64 mn,10.6%,8.7% rev,Pilot,Cloud forward,80%,Tier 3,Elevated,Series C,"778,306"
SterlingRiver Funding,Lending,"Seattle, WA",2002,375,"$156,820,742",+13.8%,$21.05 mn,N/A,Hybrid Stack,56%,Tier 2,Moderate,Series C,"614,011"
CrestAnchor Lend,Lending,"New York, NY",2003,436,"$153,581,663",+9.7%,USD 14.53M,Production,Cloud-Forward,76%,Tier 2,Moderate,Series C,"346,140"
PrimeSummit Capital,Lending,"Atlanta, GA",1999,502,$149.1M,+13.9%,USD 17.90M,Legacy Only,Cloud-Native,81%,Tier 3,High,Series C,"1,129,518"
CobaltVista Lend,Lending,"Miami, FL",2008,564,$138.4M,9.1%,$16.2M,Not Yet,Cloud forward,78%,Tier 2,Moderate,Series C,"1,208,863"
PioneerSignal Capital,Lending,"Austin, TX",2020,507,$136.93 mn,13.2%,USD 16.82M,--,Cloud forward,71%,Tier 2,Moderate,Series C,"469,550"
PrimePulse Lend,Lending,"San Francisco, CA",2022,592,$131.85 mn,9.1%,$10.90 mn,--,Hybrid Stack,58%,Tier 4,Elevated,Series C,"958,245"
QuantumSummit Funding,Lending,"New York, NY",2014,460,USD 128.21M,9.4%,$14.2M,AI Enabled,Hybrid,62%,Tier 4,Elevated,Series C,"253,780"
